fecha,anio,mes,provincia,empleo_registrado,sector,fuente
2024-06-01,2024,6,Córdoba,22260,HyG,SIPA-AFIP
2024-06-01,2024,6,Entre Ríos,4362,HyG,SIPA-AFIP
2024-06-01,2024,6,Formosa,856,HyG,SIPA-AFIP
2024-06-01,2024,6,Jujuy,1975,HyG,SIPA-AFIP
2024-06-01,2024,6,La Pampa,1144,HyG,SIPA-AFIP
2024-06-01,2024,6,La Rioja,1126,HyG,SIPA-AFIP
2024-06-01,2024,6,Mendoza,14093,HyG,SIPA-AFIP
2024-06-01,2024,6,Misiones,4886,HyG,SIPA-AFIP
2024-06-01,2024,6,Neuquén,8918,HyG,SIPA-AFIP
2024-06-01,2024,6,Río Negro,9323,HyG,SIPA-AFIP
2024-06-01,2024,6,Salta,246,HyG,SIPA-AFIP
2024-06-01,2024,6,San Juan,2826,HyG,SIPA-AFIP
2024-06-01,2024,6,San Luis,1952,HyG,SIPA-AFIP
2024-06-01,2024,6,Santa Cruz,4480,HyG,SIPA-AFIP
2024-06-01,2024,6,Santa Fe,15364,HyG,SIPA-AFIP
2024-06-01,2024,6,Santiago del Estero,3074,HyG,SIPA-AFIP
2024-06-01,2024,6,Tierra del Fuego,3376,HyG,SIPA-AFIP
2024-06-01,2024,6,Tucumán,5050,HyG,SIPA-AFIP
2024-05-01,2024,5,Buenos Aires,86249,HyG,SIPA-AFIP
2024-05-01,2024,5,CABA,99165,HyG,SIPA-AFIP
2024-05-01,2024,5,Catamarca,1611,HyG,SIPA-AFIP
2024-05-01,2024,5,Chaco,1395,HyG,SIPA-AFIP
2024-05-01,2024,5,Chubut,3641,HyG,SIPA-AFIP
2024-05-01,2024,5,Corrientes,3917,HyG,SIPA-AFIP
2024-05-01,2024,5,Córdoba,22260,HyG,SIPA-AFIP
2024-05-01,2024,5,Entre Ríos,4362,HyG,SIPA-AFIP
2024-05-01,2024,5,Formosa,856,HyG,SIPA-AFIP
2024-05-01,2024,5,Jujuy,1975,HyG,SIPA-AFIP
2024-05-01,2024,5,La Pampa,1144,HyG,SIPA-AFIP
2024-05-01,2024,5,La Rioja,1126,HyG,SIPA-AFIP
2024-05-01,2024,5,Mendoza,14093,HyG,SIPA-AFIP
