fecha,localidad,viajeros_total,viajeros_res,viajeros_no_res,pernoctes_total,estadia_promedio,ibt_termas,ibt_sde,ibt_motogp,ibt_compuesto,tcn_usd,anio,mes,flag_covid
2019-04-01,Santiago del Estero,22924.0,11176.0,286.0,36250.0,1.58,23,2,10,14.1,43.21,2019,4,0
2019-04-01,Termas,30538.0,15118.0,151.0,101702.0,3.33,23,2,10,14.1,43.21,2019,4,0
2019-03-01,Santiago del Estero,25484.0,12367.0,375.0,39560.0,1.55,29,4,40,23.7,41.32,2019,3,0
2019-03-01,Termas,30438.0,12107.0,3112.0,84574.0,2.78,29,4,40,23.7,41.32,2019,3,0
2019-02-01,Santiago del Estero,21468.0,10554.0,180.0,31818.0,1.48,17,4,4,10.5,38.34,2019,2,0
2019-02-01,Termas,15847.0,7879.0,,38013.0,2.4,17,4,4,10.5,38.34,2019,2,0
2019-01-01,Santiago del Estero,21450.0,10542.0,183.0,31412.0,1.46,13,6,2,8.7,37.35,2019,1,0
2019-01-01,Termas,16975.0,8443.0,,43699.0,2.57,13,6,2,8.7,37.35,2019,1,0
2018-12-01,Santiago del Estero,20850.0,10292.0,133.0,30340.0,1.46,9,4,2,6.1,37.82,2018,12,0
2018-12-01,Termas,11132.0,5522.0,,25576.0,2.3,9,4,2,6.1,37.82,2018,12,0
2018-11-01,Santiago del Estero,21002.0,10359.0,142.0,31084.0,1.48,7,5,6,6.2,36.35,2018,11,0
2018-11-01,Termas,17925.0,8913.0,,41871.0,2.34,7,5,6,6.2,36.35,2018,11,0
2018-10-01,Santiago del Estero,22862.0,11240.0,191.0,35924.0,1.57,13,4,8,9.3,37.04,2018,10,0
2018-10-01,Termas,31724.0,15735.0,127.0,94480.0,2.98,13,4,8,9.3,37.04,2018,10,0
2018-09-01,Santiago del Estero,25168.0,12058.0,526.0,41076.0,1.63,21,3,5,12.4,38.48,2018,9,0
2018-09-01,Termas,43075.0,21508.0,,149978.0,3.48,21,3,5,12.4,38.48,2018,9,0
2018-08-01,Santiago del Estero,25586.0,12645.0,148.0,43094.0,1.68,25,5,7,15.4,29.93,2018,8,0
2018-08-01,Termas,54333.0,27133.0,,190298.0,3.5,25,5,7,15.4,29.93,2018,8,0
2018-07-01,Santiago del Estero,34394.0,17069.0,128.0,56198.0,1.63,37,6,3,20.9,27.6,2018,7,0
2018-07-01,Termas,69298.0,34626.0,,238416.0,3.44,37,6,3,20.9,27.6,2018,7,0
2018-06-01,Santiago del Estero,22265.0,11086.0,,34158.0,1.53,27,5,10,17.0,26.65,2018,6,0
2018-06-01,Termas,42413.0,21166.0,,153007.0,3.61,27,5,10,17.0,26.65,2018,6,0
2018-05-01,Santiago del Estero,22200.0,10944.0,156.0,35830.0,1.61,19,4,8,12.3,23.6,2018,5,0
2018-05-01,Termas,37150.0,18425.0,150.0,127034.0,3.42,19,4,8,12.3,23.6,2018,5,0
2018-04-01,Santiago del Estero,22220.0,10709.0,401.0,33704.0,1.52,34,4,35,25.2,20.25,2018,4,0
2018-04-01,Termas,37904.0,16650.0,2302.0,121924.0,3.22,34,4,35,25.2,20.25,2018,4,0
2018-03-01,Santiago del Estero,22496.0,11043.0,205.0,32816.0,1.46,21,4,14,14.5,20.23,2018,3,0
2018-03-01,Termas,31570.0,15667.0,118.0,82418.0,2.61,21,4,14,14.5,20.23,2018,3,0
2018-02-01,Santiago del Estero,20298.0,9991.0,158.0,33022.0,1.63,13,5,3,8.6,19.83,2018,2,0
2018-02-01,Termas,14823.0,7385.0,,38808.0,2.62,13,5,3,8.6,19.83,2018,2,0
2018-01-01,Santiago del Estero,20516.0,10025.0,233.0,32222.0,1.57,10,8,2,7.8,19.03,2018,1,0
2018-01-01,Termas,11301.0,5629.0,,32388.0,2.87,10,8,2,7.8,19.03,2018,1,0
